Date,Number_of_tweet,exchange,open,high,low,close,volume,trade_count,vwap,symbol,nasdaq,spx,Ethereum Market Cap,Next_day_price
2016-06-17,37,CBSE,15.64,15.74,14.13,14.6,6899.29051,359,14.93659001,ETHUSD,4800.34,2071.22,1249053417,21.14
2016-06-20,9,CBSE,11.44,11.99,11.2,11.92,6151.775498,616,11.61904224,ETHUSD,4837.21,2083.25,959600009.1,12.09
2016-06-21,10,CBSE,11.7,13.89,11.5,13.89,25919.71515,1191,12.37460359,ETHUSD,4843.76,2088.9,1055028896,11.92
2016-06-22,10,CBSE,13.18,13.59,13.01,13.31,9132.150628,782,13.29215109,ETHUSD,4833.32,2085.45,1035382450,13.89
2016-06-24,5,CBSE,14.55,14.67,14.54,14.6,1692.619558,139,14.57081035,ETHUSD,4707.98,2037.41,1134160919,13.31
2016-06-27,1,CBSE,14.06,14.19,13.8,13.97,2905.969907,192,13.93347175,ETHUSD,4594.44,2000.54,1134738652,14.24
2016-06-28,5,CBSE,13.98,14.25,11.52,12.23,39481.7082,2184,12.63583875,ETHUSD,4691.87,2036.09,1001816707,13.97
2016-06-29,4,CBSE,12.7,13.06,12.57,12.7,1600.345211,125,12.81167866,ETHUSD,4779.25,2070.77,1043352936,12.23
2016-06-30,1,CBSE,12.48,12.54,12.25,12.32,6353.735618,99,12.39953697,ETHUSD,4842.67,2098.86,1087390815,12.7
2016-07-01,1,CBSE,12.28,12.37,12.04,12.14,1547.747522,178,12.20891633,ETHUSD,4862.57,2102.95,1005775063,12.32
2016-07-05,5,CBSE,10.6,10.77,10.25,10.65,5150.598274,189,10.42966556,ETHUSD,4822.9,2088.55,861199508.1,11.34
2016-07-06,2,CBSE,10.71,11,10.24,10.61,9124.881737,447,10.62500711,ETHUSD,4859.16,2099.73,859068161.5,10.65
2016-07-07,3,CBSE,10.08,10.32,10.05,10.1,1323.838408,99,10.11868401,ETHUSD,4876.81,2097.9,825747093.1,10.61
2016-07-08,3,CBSE,10.11,11.8,10.05,11.43,26293.39649,1146,10.98476608,ETHUSD,4956.76,2129.9,932118254.1,10.1
2016-07-11,4,CBSE,10.65,10.9,10.53,10.76,5449.31361,320,10.69412554,ETHUSD,4988.64,2137.16,861156597.7,11.43
2016-07-12,6,CBSE,10.79,10.98,10.5,10.57,8474.224097,455,10.67396985,ETHUSD,5022.82,2152.14,868920981.1,10.76
2016-07-13,3,CBSE,10.5,11.17,10.33,10.9,7242.560719,494,10.82371409,ETHUSD,5005.73,2152.43,859665552.2,10.57
2016-07-14,2,CBSE,10.95,11.78,10.9,11.62,17943.60245,805,11.35340798,ETHUSD,5034.06,2163.75,921808085.7,10.9
2016-07-15,5,CBSE,11.89,12.75,11.84,11.99,20393.77378,1173,12.28071787,ETHUSD,5029.59,2161.74,928901844.3,11.62
2016-07-18,6,CBSE,11.08,11.27,11.07,11.27,1028.091218,66,11.17159626,ETHUSD,5055.78,2166.89,905150788.2,11.33
2016-07-19,8,CBSE,11.7,11.9,11.22,11.77,6353.921881,347,11.52599667,ETHUSD,5036.37,2163.78,951503951.3,11.27
2016-07-20,20,CBSE,12.53,12.74,12.52,12.64,2798.802829,210,12.64774236,ETHUSD,5089.93,2173.02,998549464.8,11.77
2016-07-21,7,CBSE,12.76,13.1,12.73,13.1,24192.4991,1445,12.90068035,ETHUSD,5073.9,2165.17,1036388808,12.64
2016-07-22,4,CBSE,14.99,15.39,14.63,14.63,42312.65665,2609,14.9078223,ETHUSD,5100.16,2175.03,1177755541,13.1
2016-07-25,3,CBSE,13.93,13.95,13.64,13.88,21847.93485,1133,13.81447977,ETHUSD,5097.63,2168.48,1137688271,13.26
2016-07-26,20,CBSE,13.87,13.95,11.88,12,144108.6461,6340,12.42508626,ETHUSD,5110.05,2169.18,969670072.7,13.88
2016-07-27,11,CBSE,13.1,13.14,12.55,12.94,20449.62721,983,12.86988236,ETHUSD,5139.81,2166.58,1068505615,12
2016-07-28,5,CBSE,12.93,12.95,12.71,12.79,15118.0891,1083,12.82422853,ETHUSD,5154.98,2170.06,1062067696,12.94
2016-07-29,4,CBSE,12.79,12.95,12.57,12.84,38456.45607,4122,12.73549311,ETHUSD,5162.13,2173.6,1058924003,12.79
2016-08-01,5,CBSE,11.9,11.9,10.8,10.95,84496.07768,7363,11.39712113,ETHUSD,5184.2,2170.84,905616046.1,11.9
2016-08-02,10,CBSE,8.68,10.45,8.54,9.86,77993.22297,4960,9.68352309,ETHUSD,5137.73,2157.03,689901283.2,10.95
2016-08-03,6,CBSE,10.6,11.22,10.42,11.14,22502.80018,2417,10.85516953,ETHUSD,5159.74,2163.79,844612892.3,9.86
2016-08-04,2,CBSE,10.91,11.55,10.51,11.32,76574.69478,6741,11.13655582,ETHUSD,5166.25,2164.25,911931922.1,11.14
2016-08-05,4,CBSE,11.13,11.38,10.81,11.18,36927.20523,5608,11.14695134,ETHUSD,5221.12,2182.87,904674489.4,11.32
2016-08-08,4,CBSE,11.33,11.45,11.24,11.37,9360.307419,909,11.35150096,ETHUSD,5213.14,2180.89,931042241.5,10.99
2016-08-09,3,CBSE,11.36,12.48,11.26,12.28,75057.13516,5559,12.00329982,ETHUSD,5225.48,2181.74,1009705614,11.37
2016-08-10,3,CBSE,12.22,12.39,12.16,12.17,10349.44031,961,12.26840009,ETHUSD,5204.58,2175.49,1005960651,12.28
2016-08-11,7,CBSE,12.17,12.17,11.6,11.73,44577.44532,3343,11.82270671,ETHUSD,5228.4,2185.79,993657811,12.17
2016-08-12,6,CBSE,11.8,11.86,11.71,11.74,9453.439359,1210,11.80322637,ETHUSD,5232.89,2184.05,992852191.9,11.73
2016-08-15,2,CBSE,11.3,11.38,11.1,11.1,10791.22897,902,11.19373317,ETHUSD,5262.02,2190.15,932326143.3,11.28
2016-08-16,5,CBSE,11.12,11.23,11,11.18,40215.68991,2423,11.09999652,ETHUSD,5227.11,2178.15,851307063.5,11.1
2016-08-17,2,CBSE,10.82,11.06,10.8,10.93,8934.336647,746,10.89122282,ETHUSD,5228.66,2182.22,891887550.2,11.18
